race,boat,n,kind,wind,min,sog,vmg,twa,eff,svmg,ssog,stwa,keep,extra,tacks,gybes,tloss_m,tloss_s,gloss_m,gloss_s,loss_m,loss_s,tdip,gdip
3,J70 Let it be,2,run,327,16.7,11.78,8.92,138.6,0.757,9.27,12.23,138.6,0.884,1406,1,3,105.8,22.2,22.3,4.7,173,36,4.1,7.23
3,J70 Let it be,3,beat,326,28.0,5.44,4.04,41.2,0.742,4.06,5.46,41.1,0.944,1179,4,0,3.6,1.8,,,15,7,3.62,
3,J70 Let it be,4,run,332,11.3,13.61,10.87,143.3,0.799,10.94,13.82,142.3,0.88,941,0,3,,,5.4,1.0,16,3,,8.53
3,Mag,1,beat,324,36.2,5.67,4.27,39.9,0.754,4.32,5.71,39.8,0.913,1422,8,0,5.8,2.6,,,47,21,3.92,
3,Mag,2,run,327,16.0,12.64,9.3,136.3,0.736,9.52,13.01,135.3,0.906,1603,0,3,,,33.4,6.8,100,20,,5.93
3,Mag,3,beat,326,27.2,5.42,4.11,39.7,0.759,4.14,5.44,39.7,0.927,1050,5,0,2.6,1.2,,,13,6,3.52,
3,Mag,4,run,332,11.2,13.78,10.89,142.3,0.79,10.99,14.07,140.8,0.881,990,0,3,,,8.4,1.5,25,4,,8.07
3,Yupi,1,beat,324,36.1,5.8,4.34,40.5,0.748,4.41,5.85,40.2,0.907,1469,8,0,7.9,3.5,,,63,28,4.25,
3,Yupi,2,run,327,17.1,12.07,8.69,135.1,0.72,8.8,12.34,133.5,0.917,1743,1,2,15.7,3.5,16.4,3.6,49,11,7.7,6.0
3,Yupi,3,beat,326,27.7,5.51,4.11,40.7,0.745,4.13,5.53,40.8,0.928,1181,5,0,2.6,1.2,,,13,6,3.96,
3,Yupi,4,run,332,11.7,13.1,10.46,143.5,0.799,10.64,13.44,142.2,0.915,924,0,2,,,29.8,5.5,60,11,,7.7
3,Team Sweden,1,beat,324,36.0,5.63,4.27,39.7,0.758,4.28,5.67,40.0,0.931,1392,6,0,2.0,0.9,,,12,6,3.75,
3,Team Sweden,2,run,327,15.6,12.94,9.45,135.9,0.731,9.69,13.28,135.6,0.877,1617,1,3,109.1,21.9,-1.7,-0.3,104,21,6.7,8.9
3,Team Sweden,3,beat,326,26.9,5.59,4.14,41.5,0.741,4.14,5.6,41.6,0.984,1142,1,0,-0.8,-0.4,,,-1,0,3.5,
